epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.49,1.28637,1.85158,1.34503,0.82259,0.5101,0.57253,0.36676,1.28865,1.16002,1.27128,0.0033294,0.0033294,0.0033294
2,629.931,1.23742,1.17285,1.27057,0.80489,0.49845,0.56103,0.36335,1.26894,0.9984,1.24854,0.00661876,0.00661876,0.00661876
3,925.652,1.2914,1.12995,1.30472,0.78822,0.46302,0.50693,0.31344,1.3777,1.1574,1.33858,0.00986412,0.00986412,0.00986412
4,1229.03,1.32417,1.12034,1.32978,0.8061,0.4684,0.53702,0.35175,1.28,1.04743,1.28003,0.009802,0.009802,0.009802
5,1525.72,1.27379,1.01264,1.29951,0.80238,0.50733,0.56669,0.35666,1.27839,0.9685,1.25832,0.009736,0.009736,0.009736
6,1825.53,1.24046,0.95631,1.27515,0.8054,0.54579,0.63481,0.42091,1.2187,0.85284,1.22286,0.00967,0.00967,0.00967
7,2127.49,1.21622,0.90458,1.2559,0.84919,0.54602,0.63008,0.4277,1.17684,0.79504,1.187,0.009604,0.009604,0.009604
8,2428.26,1.20172,0.88402,1.24653,0.82462,0.55784,0.64691,0.44455,1.16871,0.76243,1.17534,0.009538,0.009538,0.009538
9,2723.76,1.18477,0.85895,1.23462,0.83483,0.59844,0.6792,0.46866,1.14581,0.70656,1.16476,0.009472,0.009472,0.009472
10,3034.85,1.16507,0.83485,1.2231,0.86249,0.56713,0.65646,0.45799,1.13766,0.71113,1.15689,0.009406,0.009406,0.009406
11,3342.31,1.16274,0.8207,1.22094,0.84366,0.60853,0.69672,0.48489,1.11328,0.66743,1.13913,0.00934,0.00934,0.00934
12,3647.91,1.15436,0.80769,1.21127,0.86966,0.5852,0.69964,0.49689,1.10555,0.66457,1.13122,0.009274,0.009274,0.009274
13,3943.44,1.14446,0.79826,1.20742,0.86686,0.5915,0.70463,0.49702,1.10085,0.64641,1.12898,0.009208,0.009208,0.009208
14,4250.02,1.13568,0.78597,1.20469,0.85542,0.61287,0.71366,0.50244,1.09296,0.63484,1.12927,0.009142,0.009142,0.009142
15,4552.38,1.12973,0.77332,1.19586,0.87028,0.6075,0.70101,0.49718,1.07938,0.62055,1.11683,0.009076,0.009076,0.009076
16,4853.07,1.12501,0.766,1.19548,0.86211,0.61563,0.73105,0.5145,1.0811,0.6129,1.12024,0.00901,0.00901,0.00901
17,5160.12,1.12016,0.75671,1.19075,0.71723,0.70758,0.74304,0.53175,1.07097,0.60342,1.11161,0.008944,0.008944,0.008944
18,5455.95,1.11124,0.74289,1.18056,0.8443,0.64591,0.74621,0.53752,1.06893,0.59418,1.10749,0.008878,0.008878,0.008878
19,5758.95,1.1059,0.74026,1.18031,0.79148,0.72597,0.76762,0.55034,1.06068,0.58525,1.10435,0.008812,0.008812,0.008812
20,6054.48,1.10815,0.73422,1.17805,0.77514,0.69681,0.75251,0.54498,1.05778,0.57838,1.10166,0.008746,0.008746,0.008746
21,6361.28,1.10345,0.73097,1.17702,0.77508,0.70467,0.771,0.55157,1.05262,0.57411,1.09914,0.00868,0.00868,0.00868
22,6665.97,1.09408,0.72221,1.17305,0.73851,0.72839,0.76779,0.54921,1.05237,0.57239,1.09654,0.008614,0.008614,0.008614
23,6964.18,1.08883,0.71783,1.16693,0.71433,0.73996,0.76875,0.55756,1.04879,0.56765,1.09127,0.008548,0.008548,0.008548
24,7259.96,1.08934,0.72008,1.16756,0.7658,0.73572,0.78817,0.5666,1.04417,0.56377,1.08911,0.008482,0.008482,0.008482
25,7558.71,1.08595,0.71072,1.16642,0.72153,0.73039,0.76705,0.55938,1.04184,0.56074,1.08545,0.008416,0.008416,0.008416
26,7861.05,1.08245,0.70508,1.1627,0.77282,0.69013,0.77168,0.56267,1.04027,0.5568,1.08675,0.00835,0.00835,0.00835
27,8165.15,1.07813,0.699,1.16215,0.81727,0.68273,0.77901,0.57151,1.03767,0.55379,1.08602,0.008284,0.008284,0.008284
28,8467.58,1.08091,0.69581,1.15811,0.80722,0.68261,0.78187,0.56774,1.03583,0.54977,1.08387,0.008218,0.008218,0.008218
29,8768.31,1.07329,0.69574,1.15603,0.80408,0.67373,0.78247,0.56963,1.03226,0.5495,1.08085,0.008152,0.008152,0.008152
30,9073.12,1.06892,0.68965,1.15447,0.74118,0.69835,0.78321,0.56885,1.03286,0.54775,1.08147,0.008086,0.008086,0.008086
31,9368.82,1.06639,0.68887,1.15274,0.76971,0.69055,0.78553,0.5718,1.03211,0.5451,1.08047,0.00802,0.00802,0.00802
32,9664.46,1.07366,0.68429,1.15415,0.77538,0.68985,0.79058,0.5749,1.03073,0.54402,1.07978,0.007954,0.007954,0.007954
33,9969.75,1.06462,0.68099,1.14901,0.76017,0.70817,0.79493,0.57574,1.0299,0.54281,1.07847,0.007888,0.007888,0.007888
34,10271.6,1.05979,0.67761,1.14844,0.77766,0.70074,0.79999,0.57704,1.02989,0.54195,1.07765,0.007822,0.007822,0.007822
35,10576.5,1.06283,0.67516,1.14793,0.79062,0.70208,0.79996,0.57813,1.02917,0.54091,1.07739,0.007756,0.007756,0.007756
36,10878.2,1.05771,0.67244,1.1465,0.78782,0.70639,0.8044,0.58072,1.02868,0.53865,1.07709,0.00769,0.00769,0.00769
